,0
s0003687013000549,"Non-neutral wrist posture is a risk factor of the musculoskeletal disorders among computer users. This study aimed to assess internal loads on hand and forearm musculature while tapping in different wrist postures. Ten healthy subjects tapped on a key switch using their index finger in four wrist postures: straight, ulnar deviated, flexed and extended. Torque at the finger and wrist joints were calculated from measured joint postures and fingertip force. Muscle stresses of the six finger muscles and four wrist muscles that balanced the calculated joint torques were estimated using a musculoskeletal model and optimization algorithm minimizing the squared sum of muscle stress. Non-neutral wrist postures resulted in greater muscle stresses than the neutral (straight) wrist posture, and the stress in the extensor muscles were greater than the flexors in all conditions. Wrist extensors stress remained higher than 4.5 N/cm² and wrist flexor stress remained below 0.5 N/cm² during tapping. The sustained high motor unit recruitment of extensors suggests a greater risk than other muscles especially in flexed wrist posture. This study demonstrated from the perspective of internal tissue loading the importance of maintaining neutral wrist posture during keying activities."
s0003687013000550,"ObjectivesWe aimed to investigate the relationship of task variation during dental work history with pinch grip strength among dentists.MethodsWe measured pinch grip strength among 295 female Finnish dentists aged 45–63 years. Variation in dental work tasks during work history was empirically defined by cluster analysis. Three clusters of task variation emerged: low (most work time in restoration treatment/endodontics), moderate (about 50% in the former and 50% in prosthodontics/periodontics/surgery), and high (variable tasks including administrative duties). Hand radiographs were examined for the presence of OA in the wrist and each joint of the 1–3rd fingers. Information on hand-loading leisure-time activities, and joint pain was obtained by questionnaire. Glove size was used as a proxy for hand size. BMI (kg/m2) was based on measured weight and self-reported height.ResultsDentists with low variation of work task history had an increased risk of low pinch grip strength in the right hand (OR 2.3, 95% CI 1.2–4.3), but not in the left (1.13, 0.62–2.08), compared to dentists with high task variation, independent of age, hand size, hand-loading leisure-time activities, BMI and symptomatic hand OA.ConclusionThe dentists with the most hand-loading tasks were at an increased risk of low pinch grip strength, independent of e.g. symptomatic hand OA. It is advisable among dentists to perform as diverse work tasks as possible to reduce the risk of decreased pinch grip strength."
s0003687013000562,"We report a study which aimed to provide further development and refinement of a set of guidelines (Waterson et al., 2012) for the design and evaluation of warning signs and other visual material for young children (i.e., aged 5–11 years). The study involved a set of semi-structured interviews and focus groups with the parents of young children, teachers, human factors experts and other groups (n = 38). The findings from the study provided broad support for the guidelines, as well as highlighting a number of issues which need to be addressed. These included the need to consider the target audience in more detail and provide additional guidance covering possible tie-ins with safety campaigns, sign location, age differences, gender and children's special needs. Similar findings were obtained with regard to the evaluation guidelines and their coverage of methods and activities for testing signs (e.g., simulation, role playing). We discuss our findings within the context of a revised set of guidelines and a set of suggestions aimed at working towards a more comprehensive approach to the design/evaluation of signs for young children. The paper concludes with a set of future topics for research including a discussion of ways forward in terms of improving support for design and evaluation including behavioural testing with children, their parents and other care givers."
s0003687013000574,"Meat cutters face higher risks of injury and musculoskeletal problems than most other occupational groups. The aims of this paper were to describe ergonomics changes implemented in three meat cutting plants and to evaluate effects related to ergonomics on the individual meat cutters and their work. Data was collected by interviews, observations, document studies and a questionnaire (n = 247), as a post intervention study. The changes implemented consisted of reducing knife work to a maximum of 6 h per day and introducing a job rotation scheme with work periods of equal length. Tasks other than traditional meat cutting were added. A competence development plan for each meat cutter and easy adjustment of workplace height were introduced. The questionnaire showed a reduction in perceived physical work load. In general, the changes were perceived positively. Figures from the company showed a positive trend for injuries and sick leave."
s0003687013000586,"Socio-technical issues for Systems of Systems (SoS) differ in several ways from those for systems, mainly because the individual systems that are components of the SoS are usually owned by different organisations, each responsible for the optimisation and operation of its own system. Consequently, management of the SoS is about negotiation and management of the interfaces. Because of issues of Intellectual Property Rights (IPRs), commercial confidence, and the like, there is seldom sufficient, timely information in circulation about the SoS. Surprises are endemic to SoS, and resilience is a fundamental requirement. This paper outlines the different characteristics of SoS compared to ordinary systems, discusses many of the socio-technical issues involved, and then outlines a generic approach to these issues, treating the SoS as a ‘wicked problem’. Endemic to this is the need for governance, which is discussed briefly. This is followed by a description of the evident gaps in knowledge about the functioning of SoS, and a listing of tool classes, the development of which would enable progress to be made more effectively. Finally, the paper discusses how the SoS approach might be the best way to entrain ICT to address global drivers, thus pointing to the importance of the SoS approach."
s0003687013000604,"Policy flight simulators are designed for the purpose of exploring alternative management policies at levels ranging from individual organizations to national strategy. This article focuses on how such simulators are developed and on the nature of how people interact with these simulators. These interactions almost always involve groups of people rather than individuals, often with different stakeholders in conflict about priorities and courses of action. The ways in which these interactions are framed and conducted are discussed, as well as the nature of typical results."
s0003687013000628,"Ergonomics/human factors is, above anything else, a systems discipline and profession, applying a systems philosophy and systems approaches. Many things are labelled as system in today's world, and this paper specifies just what attributes and notions define ergonomics/human factors in systems terms. These are obviously a systems focus, but also concern for context, acknowledgement of interactions and complexity, a holistic approach, recognition of emergence and embedding of the professional effort involved within organization system. These six notions are illustrated with examples from a large body of work on rail human factors."
s0003687013000641,"There is a growing discussion concerning sustainability. While this discussion was at first mainly focused on a society level – and sometimes regarding especially environmental problems, one can now see that this topic is of increasing relevance for companies worldwide and even the social dimension of this three pillar approach is gaining more and more importance. This leads to some questions: Is sustainability already a part of human factors thinking or do we have to further develop our discipline? How can we define sustainable work systems? What are the topics we have to consider? Do we need a new systems ergonomics perspective regarding whole value creation chains and a life-cycle perspective concerning products (and work systems)? How can we deal with potential contradictions about social, ecological, and economic goals?"
s0003687013000677,"Body armour is used widely by law enforcement and other agencies but has received mixed reviews. This study examined the influence of stab resistant body armour (SRBA) and mandated accessories on physiological responses to, and the performance of, simulated mobility tasks. Fifty-two males (37 ± 9.2 yr, 180.7 ± 6.1 cm, 90.2 ± 11.6 kg, VO2max 50 ± 8.5 ml kg−1 min−1, BMI 27.6 ± 3.1, mean ± SD) completed a running VO2max test and task familiarisation. Two experimental sessions were completed (≥4 days in between) in a randomised counterbalanced order, one while wearing SRBA and appointments (loaded) and one without additional load (unloaded). During each session participants performed five mobility tasks: a balance task, an acceleration task that simulated exiting a vehicle, chin-ups, a grappling task, and a manoeuvrability task. A 5-min treadmill run (zero-incline at 13 km·h−1, running start) was then completed. One min after the run the five mobility tasks were repeated.There was a significant decrease in performance during all tasks with loading (p < 0.001). Participants were off-balance longer; slower to complete the acceleration, grapple and mobility tasks; completed fewer chin-ups; and had greater physiological cost (↑ %HRmax, ↑ %VO2max, ↑ RER) and perceptual effort (↑ RPE) during the 5-min run. Mean performance decreases ranged from 13 to 42% while loaded, with further decreases of 6–16% noted after the 5-min run. Unloaded task performance was no different between phases.Wearing SRBA and appointments significantly reduced mobility during key task elements and resulted in greater physiological effort. These findings could have consequences for optimal function in the working environment and therefore officer and public safety."
s0003687013000689,"The inanimate bicycle symbol has long been used to indicate the animate activity of bicycling facility signs. In contrast, either the inanimate bicycle symbol or the animate bicycle symbol has been used interchangeably for the standard pavement symbols in bike lanes. This has led to confusion among pedestrians and cyclists alike. The purpose of this study was to examine two different designs (inanimate symbol vs. animate symbol) involved in the evaluation of perceived preference and glance legibility, and investigate sign design features on bicycle pictorial symbols. Thirty-five participants compared current bicycle signs (inanimate symbols) to alternative designs (animate symbols) in a controlled laboratory setting. The results indicated that the alternative designs (animate symbols) showed better performance in both preference and glance legibility tests. Conceptual compatibility, familiarity, and perceptual affordances were found to be important factors as well."
