,0
s0003687013000549,•We quantified the effect of four wrist postures during tapping on resulting finger and wrist muscle stress (including both active and passive component).•Neutral wrist posture was the optimal option among four tested wrist postures when all muscles were considered.•Extensor muscles exhibited higher muscle stresses than flexors.•Wrist extensors stress remained higher than 4.5 N/cm² and wrist flexor stress remained below 0.5 N/cm² during tapping.
s0003687013000550,•The relationship of task variation during dental work history with pinch grip strength among dentists was investigated.•The dentists with the most hand-loading tasks were at an increased risk of low pinch grip strength.•It is advisable among dentists to perform as diverse work tasks as possible to reduce the risk of decreased pinch grip strength.
s0003687013000562,"•We carried out an evaluation of a set of pilot guidelines for the design/evaluation of warning signs for young children.•The evaluation involved interviews and focus groups with parents, teachers, human factors experts and other groups.•The findings offered broad support for the guidelines and some revisions.•The paper concludes with a set of recommendations for future work (e.g., the need for behavioral testing)."
s0003687013000574,"•We describe ergonomic changes implemented within meat cutting.•Main changes were reducing knife work and job rotation.•Results showed a significant reduction in perceived physical work load.•In general, the participative changes were perceived positively.•The company did not report important setbacks due to the changes."
s0003687013000586,"•SoS differ from systems with subsystems, because of multiple ownership.•This requires a different socio-technical approach to sustain them.•‘Surprises’ are endemic to the SoS and resilience is a key attribute.•It is sensible to treat the SoS as a ‘wicked problem’, and use appropriate methods.•Governance is therefore of primary importance as a feedback mechanism."
s0003687013000604,•One of few human factors descriptions of modeling policy setting.•Contribution to understanding of truly complex systems.•Explanation of policy (flight) simulators.
s0003687013000628,•New definition of systems ergonomics/human factors.•Identification of six fundamental components of systems ergonomics/human factors.•Illustrations of ideas through real contemporary examples from rail systems.
s0003687013000641,"•Describing the understanding of sustainability on different levels (society, corporation, work system).•Discussing the similarities and differences between sustainability and human factors.•Delivering a first frame work for designing sustainable work systems.•Discussing the understanding of systems ergonomics in relation to sustainability."
s0003687013000677,•Many police and service occupations are required to wear body armour.•Little known about the effects of wearing body armour in a law enforcement context.•Body armour and equipment increase mobility restriction and physiological cost.•Implications for employee safety/effectiveness in specific and critical work scenarios.•Facilitates policy changes in overall and specific training emphases or procedures.
s0003687013000689,•We examined two different designs (inanimate symbol vs. animate symbol) on bicycle pictorial symbols.•The alternative designs (animate symbol) performed better in both the preference test and the glance legibility test.•The alternative designs (animate symbol) showed better conceptual compatibility for bicycling facility signs.•The alternative designs (animate symbol) were more legible than the current sign (inanimate symbol).
s0003687013000707,•Resolution of the kinematic redundancy in robotic manipulators inspired by human movements.•Experimental campaign on volunteers to gather physiological signals.•Assessment of physiological comfort/discomfort as a function of the adopted redundancy resolution criterion.•Human-like movements of the robot alleviate the stress during human-robot coexistence.•Non human-like movements are responsible for a more stressful affective state of humans.
s0003687013000732,"•First published results on acceptable weights/forces for pulling long levers in rail mechanical signal boxes.•Development of an injury risk management plan for health and safety in lever operation.•Identification of lever pulling strategies and postures.•Comparison of operator estimates of heavy (or difficult), medium and light lever weights/forces with actual weights.•Comparison of measured lever weights and subjective estimates of risk with biomechanical modelling estimates."
s0003687013000744,•Wearing hip restrictive clothing may increase the potential for low-back discomfort.•Comparisons were made of tight vs. fit pants during manual material handling tasks.•Tight pants led to an increase in lumbar motion and reduced trunk muscle activity.•Results provide a basis for guidance on clothing fit for manual material handling.
